"Investor Name","Investor Profile URL","Investor Logo","Number of Funding Rounds","Portfolio Companies","Investor Location","Investor Type","Sectors of Investment","Investor Founded Year","Key People","Portfolio Count","Sectors","Portfolio unicorns","Team members","Linkedin URL","X Profile","Email","Deals in last 12 months"
"Y Combinator","https://platform.tracxn.com/a/d/investor/srAiTt8Aevx0dkPbmrFdUVl21azd7Gx7AOT8J4fO1Zs/ycombinator","https://i.tracxn.com/logo/company/ccb6bc6d58f84c70e7227d663fa3f?devicePixelRatio=1&format=webp&height=14&width=14","7300","Groww, Coinbase","Mountain View","VC
Incubators","Enterprise Applications
Consumer","2005","David Lieb","","","","75","","","hi@tracxn.com",""
"Techstars","https://platform.tracxn.com/a/d/investor/X9SJastlBrj2FtVkv0mL7OLHL3J27mHWe0kY0ds4iPo/techstars","https://i.tracxn.com/logo/company/Selection_999(822)_1584095064231.png?devicePixelRatio=1&format=webp&height=14&width=14","4000","Spotify, Ramp","New York City","Incubators","Enterprise Applications
Consumer","2006","Paolo Azzola","","","","75","","","hi@tracxn.com",""
"Sequoia Capital","https://platform.tracxn.com/a/d/investor/PuyKDxi6s4MDikTH69gcgffRRQgfBSRZ057M1u-naxU/sequoiacapital","https://i.tracxn.com/logo/company/sc_582725dd-fb02-4fb9-b142-bf3003de84e3.PNG?devicePixelRatio=1&format=webp&height=14&width=14","2550","OpenAI, Uber","Menlo Park","VC","Enterprise Applications
Consumer","1972","Cornelius Menke","","","","73","","","",""
"500 Global","https://platform.tracxn.com/a/d/investor/runQgYmPnMdNqjVIv7_robeQ3fLVjr6Aq-eMtX2s2O0/500global","https://i.tracxn.com/logo/company/LG6YNVES_400x400_8cbdf0e0-ae26-48a0-9569-24e7ed7fb017.png?devicePixelRatio=1&format=webp&height=14&width=14","2440","Canva, Stripe","San Francisco","VC
Incubators","Enterprise Applications
Consumer","2010","Amjad Ahmad","","","","63","","","hi@tracxn.com",""
"Accel","https://platform.tracxn.com/a/d/investor/asmY3flzarkQxfcinnBYuT9nvo9mQ5zLGe6iamfHrmQ/accel","https://i.tracxn.com/logo/company/lQLZCgKo_400x400_384b4133-3cf0-4052-a656-427fedd8b02c.jpg?devicePixelRatio=1&format=webp&height=14&width=14","2370","Facebook, Slack","Palo Alto","VC","Enterprise Applications
Consumer","1983","Jess Segal","","","","58","","","hi@tracxn.com",""
"New Enterprise Associates","https://platform.tracxn.com/a/d/investor/ybmB7Tn9E5oeNF4VTXQqEHd_ixFHx6_Eq8_TZKOWOdE/newenterpriseassociates","https://i.tracxn.com/logo/company/bd5b2e8a96854adb39b7b9ae961e3c?devicePixelRatio=1&format=webp&height=14&width=14","2020","Uber, Salesforce","Menlo Park","VC","Enterprise Applications
Life Sciences","1977","Francois Ajenstat","","","","74","","","hi@tracxn.com",""
"Andreessen Horowitz","https://platform.tracxn.com/a/d/investor/UPS46sviVk047PSHY3HxzCcQMPre7GKsbwDXPwmc0ro/andreessenhorowitz","https://i.tracxn.com/logo/company/a16_c519a341-7237-438b-9b74-5424c31fc88f.jpg?devicePixelRatio=1&format=webp&height=14&width=14","1880","Facebook, OpenAI","New York City","VC","Enterprise Applications
High Tech","2009","James Watson","","","","83","","","hi@tracxn.com",""
"Lightspeed Venture Partners","https://platform.tracxn.com/a/d/investor/aqLNsYlO_gpgAgYRzxC0LsO9OEbQYcc_LqZa1cMR6n8/lightspeedventurepartners","https://i.tracxn.com/logo/company/lightsp_d2d4ed47-fda5-4f1b-8cce-fe5db737cc1c.png?devicePixelRatio=1&format=webp&height=14&width=14","1460","Affirm, Grab","Menlo Park","VC","Enterprise Applications
Consumer","2000","Aaron Frank","","","","84","","","hi@tracxn.com",""
"General Catalyst","https://platform.tracxn.com/a/d/investor/ou595fgJR47OKoZLSzT2nWPdj7tFmxjiK6fl64PtpaI/generalcatalyst","https://i.tracxn.com/logo/company/da3f9826d14e7fbfdbc224c875342?devicePixelRatio=1&format=webp&height=14&width=14","1440","Circle, HubSpot","Cambridge","VC","Enterprise Applications
Consumer","2000","Hannah Lique Naitove","","","","83","","","",""
"Bessemer Venture Partners","https://platform.tracxn.com/a/d/investor/OWFH2mkG8eq9fujc6ieBBBKpaCrCeXY3GVQHwV8uOLk/bessemerventurepartners","https://i.tracxn.com/logo/company/Selection_999(603)_1583467951837.png?devicePixelRatio=1&format=webp&height=14&width=14","1400","Swiggy, Okta","Redwood City","VC","Enterprise Applications
Enterprise Infrastructure","1911","Sagnik Nandy","","","","57","","","hi@tracxn.com",""
"MassChallenge","https://platform.tracxn.com/a/d/investor/3roKhUpcCJKdIE9BNePnoxvY2SSiLbBG1CqpUkMwrkk/masschallenge","https://i.tracxn.com/logo/company/mc_d45ff6fe-c34a-4d32-9425-1b0affd25dc4.PNG?devicePixelRatio=1&format=webp&height=14&width=14","1310","Bitso, Turo","Boston","Incubators","Enterprise Applications
High Tech","2009","Cissp-Issep Michael Smith Cism","","","","66","","","hi@tracxn.com",""
