Firm Name,Type,About,AUM,Founded,Headcount,Stages,Sectors (Representative),Business Model Focus,Check Size (Range),Geography Scope,Geography Focus,HQ Locations,Website,X,LinkedIn,Email,Investor Name (from GPs),Investor Name (from Investor Name (from GPs)),Insider Rating,Insider Notes,Last Modified,Accelerators,Prior Investments
.406 Ventures,Institutional Venture Firm (IVF),"Invests in entrepreneurs and teams who have demonstrated a passion to achieve the impossible, usually in impossibly little time and on ridiculously limited resources.",$0.00M,2005,,"Seed,Series A","Enterprise Applications,Enterprise infrastructure,Healthcare,AI/Data,Cybersecurity",Enterprise,,U.S.,"NYC,Boston","""Boston, MA"",MA (Delete)",https://www.406ventures.com/,https://x.com/406ventures,https://www.linkedin.com/company/.406-ventures,,,,,,11/18/2025,,
1confirmation,Institutional Venture Firm (IVF),A cryptocurrency focused investment firm.,,,4,,"Web3,Crypto,Blockchain",,,,,,https://1confirmation.com,https://x.com/1confirmation,,,"Nick Tomaino,Brett Shear,Mike Tomaino","Nick Tomaino, Brett Shear, Mike Tomaino",Poor,,,,
1kx,Institutional Venture Firm (IVF),A leading global investment firm specializing in blockchain technologies.,,,10,,,,,,,,https://1kx.network,,,,,,,,,,
5AM Ventures,Institutional Venture Firm (IVF),,$0.00M,2002,42,"Seed,Series A","Biotech,Life Sciences",,,US-Focused (Broad),,"""San Francisco, CA"",CA; Boston -DELETE,MA (Delete)",https://5amventures.com/,https://x.com/5amventures,https://www.linkedin.com/company/5amventures,,,,,,11/18/2025,,
6th Man Ventures,Institutional Venture Firm (IVF),,,,,,,,,,,,https://6thman.ventures/,,,,,,,,,,
7-Eleven Ventures,Corporate Venture Capital (CVC),"7-Ventures, LLC, is the 7-Eleven® corporate venturing arm focused on discovering, partnering and investing in consumer-facing technologies.",,,,,Consumer technology,"Enterprise,SMB,Consumer",,,,"""Dallas, TX"",TX - DELETE",https://7-ventures.co/,,,,,,,,,,
8-Bit Capital,Institutional Venture Firm (IVF),"8-Bit Capital invests in startups that connect people and businesses in new ways,",,,2,"Pre-Seed,Seed","Developer Tools,Enterprise","Enterprise,SMB,Consumer",,US-Focused (Broad),,"""San Francisco, CA"",CA",https://8bitcapital.com/,https://x.com/8bitcapital,https://www.linkedin.com/company/8bitcapital,,"Jonathan Abrams,Kent Lindstrom","Jonathan Abrams, Kent Lindstrom",,,11/18/2025,,
8VC,Institutional Venture Firm (IVF),,,,,"Seed,Series A,Series B +","Logistics,Bio-IT,FinTech,Enterprise","Enterprise,SMB",,U.S.,Austin,"""Austin, TX"",TX; San Francisco - delete,CA",https://www.8vc.com/,https://x.com/8vc,https://www.linkedin.com/company/8vc,,,,,,11/18/2025,,
10D,Institutional Venture Firm (IVF),"Early-stage venture capital firm based in Tel Aviv, Israel, backing Israeli founders in digital health and fintech",,,,"Seed,Series A","Digital Health,Fintech,AI",,$500K - $1M,,,,https://www.10d.vc/,,,,,,,,,,
20VC,Institutional Venture Firm (IVF),,,,,,,,,,,,https://20vc.fund,https://x.com/20vcFund,,,,,,,,,
